,city,cloudiness,country,date,humidity,lat,long,max temp,wind speed
0,portland,90,US,1588465282,81,45.52,-122.68,55.99,10.29
1,ushuaia,5,AR,1588465300,75,-54.8,-68.3,42.8,16.11
2,la paz,75,BO,1588465650,53,-16.5,-68.15,50.0,8.05
3,saskylakh,100,RU,1588465935,94,71.92,114.08,18.16,6.29
4,mataura,78,NZ,1588465935,61,-46.19,168.86,60.35,3.89
5,bathsheba,75,BB,1588465935,78,13.22,-59.52,80.6,19.46
6,upernavik,100,GL,1588465936,98,72.79,-56.15,24.17,16.93
7,khatanga,84,RU,1588465936,96,71.97,102.5,18.05,3.09
8,rikitea,60,PF,1588465506,73,-23.12,-134.97,76.96,12.03
9,cape town,75,ZA,1588465815,100,-33.93,18.42,62.01,9.17
10,flin flon,75,CA,1588465655,65,54.77,-101.86,35.6,6.93
11,punta arenas,75,CL,1588465816,81,-53.15,-70.92,44.6,6.93
12,les cayes,10,HT,1588465937,78,18.2,-73.75,77.32,3.15
13,castro,3,BR,1588465937,51,-24.79,-50.01,55.27,5.91
14,atuona,85,PF,1588465524,78,-9.8,-139.03,81.99,21.05
15,mar del plata,91,AR,1588465304,87,-38.0,-57.56,61.0,6.93
16,bredasdorp,78,ZA,1588465519,82,-34.53,20.04,64.4,6.93
17,airai,41,TL,1588465510,62,-8.93,125.41,64.98,4.43
18,bambous virieux,75,MU,1588465519,83,-20.34,57.76,75.2,10.29
19,kapaa,1,US,1588465507,58,22.08,-159.32,82.4,18.34
20,albany,92,US,1588465365,43,42.6,-73.97,66.0,4.54
21,bakchar,100,RU,1588465938,59,57.02,82.07,51.12,14.36
22,busselton,1,AU,1588465512,28,-33.65,115.33,66.0,12.82
23,madison,1,US,1588465801,47,34.73,-86.57,79.0,8.05
24,longyearbyen,20,SJ,1588465528,61,78.22,15.64,17.6,10.29
25,tromso,58,NO,1588465851,74,69.65,18.96,37.4,14.99
26,constantine,81,DZ,1588465939,87,36.37,6.61,53.6,3.36
27,bethel,1,US,1588465513,29,41.37,-73.41,66.2,5.82
28,cabo san lucas,75,MX,1588465509,47,22.89,-109.91,89.01,6.93
29,hilo,40,US,1588465513,54,19.73,-155.09,82.4,9.17
30,boa vista,20,BR,1588465571,62,2.82,-60.67,86.0,4.7
31,bandarbeyla,38,SO,1588465569,77,9.49,50.81,84.07,10.49
32,caravelas,0,BR,1588465514,84,-17.71,-39.25,74.93,3.31
33,san patricio,5,MX,1588465579,74,19.22,-104.7,86.0,11.41
34,hobart,75,AU,1588465509,53,-42.88,147.33,52.0,10.29
35,atambua,77,ID,1588465541,68,-9.11,124.89,77.54,7.02
36,kodiak,20,US,1588465515,37,57.79,-152.41,55.4,13.87
37,vila velha,0,BR,1588465571,88,-20.33,-40.29,75.2,3.36
38,nanakuli,90,US,1588465667,57,21.39,-158.15,82.4,12.75
39,nikolskoye,96,RU,1588465514,57,59.7,30.79,50.0,8.95
40,saint anthony,1,US,1588465505,22,45.02,-93.22,70.0,17.22
41,yerbogachen,99,RU,1588465821,50,61.28,108.01,42.15,10.58
42,rosamorada,86,MX,1588465941,44,22.12,-105.21,82.02,6.11
43,port alfred,3,ZA,1588465590,85,-33.59,26.89,64.0,4.0
44,hermanus,94,ZA,1588465589,95,-34.42,19.23,61.0,5.01
45,springdale,1,US,1588465941,54,36.19,-94.13,82.4,12.75
46,esperance,0,AU,1588465508,58,-33.87,121.9,57.2,18.34
47,tuktoyaktuk,90,CA,1588465508,78,69.45,-133.04,12.2,19.46
48,nouakchott,0,MR,1588465941,77,18.09,-15.98,69.8,11.41
49,igarka,100,RU,1588465942,97,67.47,86.58,29.19,8.79
50,avarua,100,CK,1588465429,83,-21.21,-159.78,78.8,16.11
51,victoria,31,HK,1588465306,74,22.29,114.16,81.0,10.0
52,gao,0,ML,1588465942,11,16.64,1.64,87.57,10.92
53,itarema,22,BR,1588465942,89,-2.92,-39.92,77.95,7.58
54,kahului,40,US,1588465533,54,20.89,-156.47,84.2,27.51
55,bedesa,100,ET,1588465943,47,8.9,40.78,63.54,0.51
56,sistranda,75,NO,1588465943,93,63.73,8.83,41.0,16.11
57,amapa,100,BR,1588465943,94,1.0,-52.0,73.98,1.86
58,dhidhdhoo,9,MV,1588465583,74,6.88,73.1,85.1,12.8
59,ejea de los caballeros,96,ES,1588465943,82,42.13,-1.14,57.2,2.24
60,bluff,55,NZ,1588465510,70,-46.6,168.33,56.34,9.75
61,alexandria,0,EG,1588465912,80,31.22,29.96,62.58,1.48
62,thompson,75,CA,1588465604,89,55.74,-97.86,32.0,14.99
63,luderitz,0,NA,1588465535,59,-26.65,15.16,64.51,11.83
64,georgetown,20,MY,1588465526,94,5.41,100.34,80.6,5.82
65,saldanha,94,ZA,1588465339,93,-33.01,17.94,60.8,5.82
66,torbay,90,CA,1588465571,100,47.67,-52.73,48.0,31.09
67,kamenka,0,RU,1588465945,84,51.32,42.77,51.84,11.39
68,amli,0,IN,1588465945,90,20.28,73.02,77.0,2.3
69,viedma,100,AR,1588465659,67,-40.81,-63.0,56.98,10.85
70,chuy,52,UY,1588465508,78,-33.7,-53.46,55.99,5.95
71,voi,28,KE,1588465947,72,-3.39,38.56,69.67,5.68
72,vaini,20,TO,1588465507,69,-21.2,-175.2,82.4,9.17
73,port lincoln,69,AU,1588465522,68,-34.73,135.87,59.04,3.29
74,acaponeta,97,MX,1588465948,38,22.5,-105.36,83.46,4.83
75,east london,0,ZA,1588465523,76,-33.02,27.91,66.42,14.72
76,arraial do cabo,70,BR,1588465524,84,-22.97,-42.03,73.24,19.08
77,thanyaburi,20,TH,1588465949,83,14.02,100.73,87.01,5.82
78,mareeba,40,AU,1588465949,57,-17.0,145.43,80.6,21.92
79,kuytun,0,RU,1588465949,46,54.34,101.5,49.12,14.56
80,palmas,32,BR,1588465949,78,-10.21,-48.36,78.8,5.82
81,vardo,63,NO,1588465534,69,70.37,31.11,37.4,17.22
82,ishigaki,75,JP,1588465873,94,24.34,124.16,80.6,17.22
83,ponta do sol,40,PT,1588465527,77,32.67,-17.1,66.2,11.41
84,provideniya,54,RU,1588465518,81,64.38,-173.3,34.56,3.4
85,jiwani,0,PK,1588465950,73,25.05,61.74,83.46,8.12
86,acajutla,26,SV,1588465800,91,13.59,-89.83,75.99,3.0
87,toamasina,20,MG,1588465950,100,-18.17,49.38,68.0,4.76
88,ugoofaaru,0,MV,1588465951,75,5.67,73.0,85.1,12.82
89,barrow,90,US,1588465523,73,71.29,-156.79,19.4,4.7
90,salamanca,95,ES,1588465791,87,40.83,-6.0,54.0,2.82
91,zhigansk,0,RU,1588465532,94,66.77,123.37,22.26,6.71
92,korla,19,CN,1588465891,60,41.76,86.15,70.0,1.99
93,puerto ayora,40,EC,1588465511,74,-0.74,-90.35,80.6,12.75
94,alice springs,0,AU,1588465951,58,-23.7,133.88,59.0,16.11
95,kokstad,0,ZA,1588465952,30,-30.55,29.42,49.93,5.23
96,ilulissat,100,GL,1588465525,93,69.22,-51.1,32.0,3.36
97,kirando,64,TZ,1588465952,61,-7.42,30.6,71.82,5.41
98,domoni,78,KM,1588465952,78,-12.26,44.53,79.52,11.48
99,biloela,10,AU,1588465952,35,-24.42,150.5,69.03,14.56
100,tasiilaq,100,GL,1588465525,74,65.61,-37.64,33.8,1.12
101,nyurba,0,RU,1588465953,70,63.28,118.33,36.3,1.77
102,ancud,90,CL,1588465953,100,-41.87,-73.82,53.01,12.75
103,clyde river,90,CA,1588465523,78,70.47,-68.59,10.4,18.34
104,pacific grove,40,US,1588465842,64,36.62,-121.92,68.0,10.29
105,tessalit,0,ML,1588465509,13,20.2,1.01,80.82,6.67
106,atyrau,100,KZ,1588465772,29,47.12,51.88,59.0,8.95
107,kismayo,96,SO,1588465888,81,-0.36,42.55,80.8,14.27
108,xining,0,CN,1588465863,12,36.62,101.77,63.41,2.82
109,santa ana,20,US,1588465752,50,33.75,-117.87,79.0,8.05
110,souillac,75,MU,1588465512,83,-20.52,57.52,75.2,10.29
111,norman wells,90,CA,1588465527,69,65.28,-126.83,35.6,18.34
112,codrington,100,AU,1588465517,72,-38.27,141.97,52.86,12.28
113,new norfolk,91,AU,1588465504,71,-42.78,147.06,52.0,3.0
114,port elizabeth,28,ZA,1588465526,77,-33.92,25.57,66.2,17.22
115,qaanaaq,9,GL,1588465504,88,77.48,-69.36,16.9,1.66
116,butaritari,64,KI,1588465508,81,3.07,172.79,83.32,17.29
117,manga,60,BF,1588465956,33,11.66,-1.07,91.54,12.01
118,kenai,1,US,1588465578,26,60.55,-151.26,55.4,16.11
119,kandi,3,BJ,1588465956,50,11.13,2.94,85.82,11.03
120,carnarvon,40,AU,1588465304,100,-24.87,113.63,68.0,4.7
121,maputo,0,MZ,1588465956,93,-25.97,32.59,66.99,5.82
122,gaya,0,IN,1588465957,88,24.78,85.0,71.6,5.21
123,nicosia,20,CY,1588465749,93,35.17,33.37,55.4,4.65
124,catamarca,99,AR,1588465957,55,-28.47,-65.79,64.17,15.73
125,laguna,1,US,1588465539,46,38.42,-121.42,73.4,13.87
126,xiaoshi,75,CN,1588465957,64,41.3,124.12,68.0,8.95
127,dikson,9,RU,1588465532,94,73.51,80.55,11.3,8.86
128,neka,90,IR,1588465957,77,36.65,53.3,66.2,11.41
129,porto torres,17,IT,1588465958,68,40.84,8.4,68.0,10.29
130,pisco,5,PE,1588465554,77,-13.7,-76.22,68.0,13.87
131,birsk,0,RU,1588465958,81,55.42,55.54,34.9,4.45
132,cortez,1,US,1588465958,10,37.35,-108.59,78.8,13.87
133,sao filipe,0,CV,1588465510,56,14.9,-24.5,77.68,10.04
134,tiznit,0,MA,1588465883,20,29.58,-9.5,78.53,4.23
135,alofi,14,NU,1588465580,74,-19.06,-169.92,82.4,11.41
136,dwarka,91,IN,1588465959,84,22.24,68.97,80.76,12.86
137,sibolga,100,ID,1588465876,77,1.74,98.78,80.51,2.1
138,parrita,40,CR,1588465959,73,9.52,-84.32,75.2,12.75
139,fairbanks,1,US,1588465285,23,64.84,-147.72,52.0,8.05
140,fort pierce,1,US,1588465682,73,27.45,-80.33,75.0,3.36
141,taltal,99,CL,1588465544,80,-25.4,-70.48,61.34,4.72
142,cabedelo,75,BR,1588465872,94,-6.98,-34.83,77.0,3.36
143,katsuura,71,JP,1588465538,64,35.13,140.3,75.0,16.11
144,kaitangata,60,NZ,1588465528,58,-46.28,169.85,61.14,6.15
145,mahebourg,75,MU,1588465588,83,-20.41,57.7,75.2,10.29
146,nanhai,0,CN,1588465960,72,30.13,111.78,75.0,3.44
147,chapleau,75,CA,1588465960,93,47.84,-83.4,42.8,7.61
148,te anau,76,NZ,1588465522,84,-45.42,167.72,52.27,5.17
149,cukai,20,MY,1588465961,94,4.25,103.42,80.6,3.36
150,oriximina,100,BR,1588465961,92,-1.77,-55.87,77.32,4.7
151,maniitsoq,100,GL,1588465835,96,65.42,-52.9,32.86,16.26
152,luanda,75,AO,1588465866,88,-8.84,13.23,80.6,3.36
153,prince rupert,90,CA,1588465834,86,54.32,-130.32,48.2,8.05
154,dingle,46,PH,1588465534,65,11.0,122.67,86.83,9.57
155,mount isa,20,AU,1588465671,28,-20.73,139.5,68.0,16.11
156,auki,99,SB,1588465583,68,-8.77,160.7,86.72,2.04
157,lensk,89,RU,1588465891,56,60.73,114.93,41.61,9.06
158,coahuayana,5,MX,1588465562,28,18.73,-103.68,84.2,11.41
159,charters towers,13,AU,1588465573,24,-20.1,146.27,68.85,12.39
160,cidreira,36,BR,1588465550,79,-30.18,-50.21,61.66,8.86
161,mapiripan,100,CO,1588465962,90,2.89,-72.13,74.84,5.93
162,altamont,90,US,1588465962,81,42.21,-121.74,50.0,16.11
163,darnah,0,LY,1588465963,60,32.77,22.64,65.62,18.84
164,baculin,100,PH,1588465963,73,7.45,126.58,83.48,0.98
165,linhai,22,CN,1588465963,72,28.85,121.12,81.0,2.17
166,chokurdakh,32,RU,1588465590,95,70.63,147.92,12.97,3.4
167,mlonggo,20,ID,1588465963,83,-6.53,110.7,78.8,3.36
168,pevek,0,RU,1588465542,91,69.7,170.31,29.44,6.11
169,coquimbo,90,CL,1588465524,82,-29.95,-71.34,57.2,2.24
170,oksfjord,75,NO,1588465964,74,70.24,22.35,37.4,16.11
171,namibe,0,AO,1588465509,69,-15.2,12.15,76.48,4.36
172,asfi,0,MA,1588465556,49,32.3,-9.24,77.45,7.58
173,salalah,75,OM,1588465527,89,17.02,54.09,84.2,4.7
174,biltine,39,TD,1588465964,13,14.53,20.92,83.52,8.32
175,yabrud,57,SY,1588465964,71,33.97,36.66,50.0,9.17
176,stornoway,0,GB,1588465964,75,58.21,-6.39,39.0,3.36
177,bonthe,100,SL,1588465964,90,7.53,-12.51,80.28,5.48
178,yellowknife,20,CA,1588465511,75,62.46,-114.35,45.0,9.17
179,jamestown,90,US,1588465511,45,42.1,-79.24,62.6,11.41
180,praia da vitoria,75,PT,1588465346,93,38.73,-27.07,53.6,8.84
181,takaka,0,NZ,1588465965,92,-40.85,172.8,64.0,8.99
182,beidao,0,CN,1588465965,29,34.57,105.89,73.4,3.44
183,the valley,20,AI,1588465557,74,18.22,-63.06,81.0,8.05
184,merauke,99,ID,1588465860,81,-8.47,140.33,82.42,5.23
185,port-gentil,75,GA,1588465578,88,-0.72,8.78,82.4,9.17
186,mokolo,10,CM,1588465966,46,10.74,13.8,77.31,3.02
187,nizwa,34,OM,1588465966,45,22.93,57.53,79.88,1.41
188,camana,100,PE,1588465966,74,-16.62,-72.71,68.72,8.5
189,juneau,90,US,1588465587,41,58.3,-134.42,59.0,6.93
190,santa cruz,40,BO,1588465524,83,-17.8,-63.17,71.6,4.7
191,mega,100,ET,1588465966,62,4.05,38.3,58.62,3.6
192,guerrero negro,1,MX,1588465576,58,27.98,-114.06,70.36,18.07
193,daman,0,IN,1588465966,79,20.42,72.85,80.71,2.15
194,calvinia,0,ZA,1588465967,27,-31.47,19.78,54.72,3.38
195,grand gaube,74,MU,1588465548,88,-20.01,57.66,73.0,7.0
196,svetlogorsk,100,BY,1588465967,91,52.63,29.73,51.1,3.2
197,kavaratti,70,IN,1588465531,77,10.57,72.64,84.87,12.17
198,pangody,100,RU,1588465967,98,65.85,74.49,28.06,4.74
199,ambilobe,69,MG,1588465586,84,-13.2,49.05,72.37,2.91
200,lavrentiya,0,RU,1588465527,94,65.58,-171.0,32.07,0.58
201,hidiselu de sus,100,RO,1588465968,93,46.95,22.05,54.0,9.17
202,sao joao da barra,24,BR,1588465551,85,-21.64,-41.05,72.77,7.34
203,ahipara,100,NZ,1588465968,92,-35.17,173.17,65.82,15.75
204,alcoentre,88,PT,1588465968,80,39.21,-8.96,59.0,5.99
205,constitucion,100,CL,1588465522,87,-35.33,-72.42,58.57,6.62
206,rio grande,7,BR,1588465672,92,-32.03,-52.1,52.0,10.2
207,saint george,1,US,1588465317,10,37.1,-113.58,87.8,14.99
208,buala,100,SB,1588465826,72,-8.14,159.59,86.09,8.43
209,san juan,0,AR,1588465733,42,-31.54,-68.54,67.03,3.27
210,nome,1,US,1588465555,70,64.5,-165.41,46.0,4.7
211,kharan,0,PK,1588465969,29,28.58,65.42,78.33,2.75
212,petropavlovsk-kamchatskiy,90,RU,1588465524,100,53.05,158.65,35.6,11.18
213,hithadhoo,100,MV,1588465522,74,-0.6,73.08,85.33,14.94
214,semey,96,KZ,1588465970,80,50.41,80.23,39.2,2.24
215,necochea,94,AR,1588465552,93,-38.55,-58.74,54.0,8.01
216,jaisalmer,0,IN,1588465970,41,26.91,70.92,84.65,15.41
217,vostok,100,RU,1588465534,40,46.49,135.88,45.41,3.94
218,nanortalik,100,GL,1588465507,86,60.14,-45.24,36.93,23.06
219,sumbawanga,19,TZ,1588465971,57,-7.97,31.62,56.97,3.74
220,tiksi,2,RU,1588465350,91,71.69,128.87,11.25,4.88
221,ewa beach,75,US,1588465971,51,21.32,-158.01,82.4,16.11
222,lukoyanov,27,RU,1588465971,74,55.03,44.48,36.91,9.44
223,vanimo,70,PG,1588465520,59,-2.67,141.3,88.05,1.25
224,isangel,75,VU,1588465510,79,-19.55,169.27,84.2,9.17
225,bulgan,31,MN,1588465883,24,48.81,103.53,53.98,4.38
226,malumfashi,59,NG,1588465972,42,11.79,7.62,81.64,14.63
227,zhaotong,86,CN,1588465910,34,27.32,103.72,66.6,4.63
228,naze,75,JP,1588465572,94,28.37,129.48,73.4,13.87
229,nalut,0,LY,1588465972,25,30.33,10.85,70.88,16.8
230,kushiro,75,JP,1588465972,49,42.98,144.37,73.4,1.12
231,nombre de dios,100,MX,1588465972,35,23.85,-104.23,75.0,18.99
232,barberton,0,ZA,1588465973,82,-25.79,31.05,64.4,4.7
233,lata,93,PT,1588465568,93,40.16,-8.33,61.0,2.24
234,ilhabela,90,BR,1588465973,81,-23.78,-45.36,69.21,8.95
235,husavik,0,IS,1588465826,87,66.04,-17.34,32.0,16.11
236,abu dhabi,2,AE,1588465551,51,24.47,54.37,87.8,2.24
237,kavieng,97,PG,1588465510,70,-2.57,150.8,84.29,2.3
238,kruisfontein,33,ZA,1588465507,76,-34.0,24.73,62.2,12.26
239,evensk,0,RU,1588465563,93,61.95,159.23,30.74,14.45
240,dvinskoy,98,RU,1588465876,97,62.15,45.12,29.26,3.74
241,waipawa,100,NZ,1588465545,88,-41.41,175.52,64.4,27.51
242,san quintin,3,MX,1588465548,63,30.48,-115.95,68.86,18.97
243,saint-philippe,62,RE,1588465536,68,-21.36,55.77,73.4,5.82
244,puri,75,IN,1588465582,88,19.8,85.85,82.4,14.16
245,iqaluit,90,CA,1588465429,85,63.75,-68.51,17.6,32.21
246,ilo,100,PE,1588465974,77,-17.64,-71.34,67.01,7.09
247,priyutnoye,99,RU,1588465974,87,46.1,43.51,57.0,8.99
248,gunjur,0,GM,1588465975,88,13.2,-16.73,73.4,6.93
249,kiruna,100,SE,1588465822,83,67.86,20.23,32.0,4.7
250,namatanai,100,PG,1588465836,86,-3.67,152.43,80.04,13.62
251,batagay-alyta,20,RU,1588465855,84,67.8,130.41,16.83,1.9
252,gushikawa,90,JP,1588465975,88,26.35,127.87,80.6,11.41
253,gamba,83,GA,1588465573,92,-2.65,10.0,78.01,7.23
254,najran,61,SA,1588465840,35,17.49,44.13,84.2,6.35
255,wattegama,0,LK,1588465975,85,6.8,81.48,77.7,1.86
256,srednekolymsk,100,RU,1588465511,96,67.45,153.68,32.54,8.14
257,zhaoyang,24,CN,1588465976,53,42.68,126.03,68.22,7.99
258,mae sai,75,TH,1588465976,100,20.43,99.88,73.4,2.24
259,hasaki,75,JP,1588465504,64,35.73,140.83,75.0,9.17
260,teluk nibung,100,ID,1588465976,91,3.0,99.82,78.96,4.29
261,fayaoue,13,NC,1588465581,78,-20.65,166.53,78.48,4.45
262,gat,0,IL,1588465847,38,31.61,34.76,57.99,1.32
263,kalabo,0,ZM,1588465528,42,-14.97,22.68,63.63,3.22
264,lorengau,99,PG,1588465518,79,-2.02,147.27,83.55,2.13
265,avera,1,US,1588465525,47,33.19,-82.53,75.2,4.74
266,sorochinsk,0,RU,1588465977,73,52.43,53.16,40.21,7.78
267,loubomo,59,CG,1588465977,87,-4.2,12.67,73.85,2.46
268,sydney,20,AU,1588465843,44,-33.87,151.21,61.0,17.22
269,loding,75,NO,1588465978,88,67.3,14.75,39.2,8.05
270,hare bay,90,CA,1588465978,93,48.85,-54.01,48.2,19.46
271,banjar,75,ID,1588465978,94,-8.19,114.97,80.6,2.24
